"Gamma","Sigma","RecentBeta","RecentR0","FirstDayNum","FirstDayInfectedCount","FirstDayExposedCount","PeakDayNum","PeakDayInfectedCount","TotalPopulation","Loss","Province","Country","FirstDate","PeakDate","tableFileKey"
0.04301038,0.05,0.006434841,0.1496113,53.01606,4.053007,34.64069,100,8051.966,8822000,844.4119,"","Austria","2020-02-22","2020-04-09","Austria-0_05"
0.04136936,0.07142857,0.002791447,0.06747619,53.54491,16.75579,13.17108,93,8038.677,8822000,712.715,"","Austria","2020-02-23","2020-04-02","Austria-0_071"
0.04089501,0.1,0.01150552,0.2813429,61.72047,9.22932,4.119022,91,8572.068,8822000,707.5812,"","Austria","2020-03-02","2020-03-31","Austria-0_1"
0.04016584,0.125,0.001618606,0.04029808,55.00215,3.365754,10.29127,91,8643.616,8822000,535.4036,"","Austria","2020-02-24","2020-03-31","Austria-0_125"
0.04013244,0.1428571,0.004531974,0.1129255,62.97784,4.609957,11.71514,92,8818.526,8822000,516.2658,"","Austria","2020-03-03","2020-04-01","Austria-0_143"
0.04060809,0.1666667,0.002440812,0.06010656,52.73879,0.0004431574,0.001662476,93,8456.125,8822000,584.4308,"","Austria","2020-02-22","2020-04-02","Austria-0_167"
0.04059177,0.2,0.008042189,0.1981237,56.69982,2.432099e-07,33.11797,92,8953.317,8822000,654.3226,"","Austria","2020-02-26","2020-04-01","Austria-0_2"
0.03998491,0.25,0.002397955,0.05997149,53.1404,0.0009132434,5.830817e-08,93,9080.286,8822000,441.3159,"","Austria","2020-02-22","2020-04-02","Austria-0_25"
0.03921061,0.3333333,0.01346258,0.3433404,60.80105,11.33753,0.3418741,93,9186.586,8822000,424.705,"","Austria","2020-03-01","2020-04-02","Austria-0_333"
0.03941627,0.5,0.004022942,0.102063,59.14718,3.951513,4.503829,92,9203.25,8822000,414.2151,"","Austria","2020-02-28","2020-04-01","Austria-0_5"
0.9997449,1,1.588979e-07,1.589385e-07,56.00032,889.7661,891.0751,57,655.3648,8822000,3533.993,"","Austria","2020-02-25","2020-02-26","Austria-1"
0.9364754,12,0.891271,0.9517293,56,6.9219,8.023463,101,626.9021,8822000,2796.663,"","Austria","2020-02-25","2020-04-10","Austria-12"
4.578308e-117,2,0,0,56.00057,1988.252,2021.682,74,4009.934,8822000,2686.026,"","Austria","2020-02-25","2020-03-14","Austria-2"
0.9786648,4,0.7409977,0.7571516,55.99985,1.800663,6.197064,100,633.8512,8822000,2802.21,"","Austria","2020-02-25","2020-04-09","Austria-4"
0.04222892,0.05,0.02270491,0.5376625,11.13586,16.47626,4.184676,49,201.9372,21709986,67.97745,"Beijing","China","2020-01-11","2020-02-18","Beijing@China-0_05"
0.0412326,0.07142857,0.01626921,0.3945716,22.56363,0.6421755,8.454155,38,234.4068,21709986,51.33833,"Beijing","China","2020-01-23","2020-02-07","Beijing@China-0_071"
0.04068497,0.1,0.01936308,0.4759272,21.18536,0.464404,17.04379,45,230.538,21709986,41.08282,"Beijing","China","2020-01-21","2020-02-14","Beijing@China-0_1"
0.0404267,0.125,0.2305573,5.703096,22.15729,3.312399,6.364002,250,8160600,21709986,42.39131,"Beijing","China","2020-01-22","2020-09-06","Beijing@China-0_125"
0.04141013,0.1428571,0.08854791,2.138315,23.73173,4.379601,5.97141,388,446600.3,21709986,37.29693,"Beijing","China","2020-01-24","2021-01-22","Beijing@China-0_143"
0.04051549,0.1666667,0.08024808,1.980677,21.74587,4.327377,6.225507,386,308299,21709986,39.10228,"Beijing","China","2020-01-22","2021-01-20","Beijing@China-0_167"
0.040712,0.2,0.0190482,0.4678768,22.6639,6.50905,5.980871,45,242.7081,21709986,38.56331,"Beijing","China","2020-01-23","2020-02-14","Beijing@China-0_2"
0.04525267,0.25,0.1601322,3.538625,21.90599,0.514941,6.026372,272,6431275,21709986,55.38929,"Beijing","China","2020-01-22","2020-09-28","Beijing@China-0_25"
0.04084611,0.3333333,0.01244187,0.3046034,22.43871,1.669354,8.245856,40,266.1949,21709986,39.68321,"Beijing","China","2020-01-22","2020-02-09","Beijing@China-0_333"
0.04086142,0.5,0.1232544,3.016399,22.54469,3.089901,5.643318,295,5952356,21709986,38.08914,"Beijing","China","2020-01-23","2020-10-21","Beijing@China-0_5"
0.03911087,1,0.003437919,0.08790189,21.08841,9.041796,7.838552,40,275.5088,21709986,25.40803,"Beijing","China","2020-01-21","2020-02-09","Beijing@China-1"
0.04068528,12,0.08901994,2.188014,21.94137,4.734301,6.891349,363,3791496,21709986,36.17175,"Beijing","China","2020-01-22","2020-12-28","Beijing@China-12"
0.04011266,2,0.03230815,0.8054352,24.48785,5.142022,5.797383,37,251.0764,21709986,37.66045,"Beijing","China","2020-01-24","2020-02-06","Beijing@China-2"
0.04044593,4,0.009947221,0.2459387,24.12647,3.155279,10.3793,42,267.5754,21709986,27.35307,"Beijing","China","2020-01-24","2020-02-11","Beijing@China-4"
0.07988211,0.05,0.8729594,10.9281,22.76512,2.293678,3.831514,194,9055544,37890000,110.588,"Heilongjiang","China","2020-01-23","2020-07-12","Heilongjiang@China-0_05"
0.05757365,0.07142857,0.007176911,0.1246562,23,6.171508,3.452211,48,206.5717,37890000,95.28596,"Heilongjiang","China","2020-01-23","2020-02-17","Heilongjiang@China-0_071"
0.05773628,0.1,0.6035304,10.45323,20.84336,4.065272,7.853272,184,14786280,37890000,79.07492,"Heilongjiang","China","2020-01-21","2020-07-02","Heilongjiang@China-0_1"
0.05553088,0.125,0.4637645,8.351471,22.8768,3.417017,6.137141,192,15242000,37890000,77.43926,"Heilongjiang","China","2020-01-23","2020-07-10","Heilongjiang@China-0_125"
0.05688181,0.1428571,0.390749,6.869491,22.90806,3.1545,6.340918,195,14748940,37890000,73.87916,"Heilongjiang","China","2020-01-23","2020-07-13","Heilongjiang@China-0_143"
0.06013725,0.1666667,1.142596,18.9998,23.47481,4.37936,3.177682,149,19452590,37890000,70.5065,"Heilongjiang","China","2020-01-23","2020-05-28","Heilongjiang@China-0_167"
0.05753801,0.2,0.3302406,5.739522,23.17945,3.632204,6.488373,200,14774150,37890000,69.83011,"Heilongjiang","China","2020-01-23","2020-07-18","Heilongjiang@China-0_2"
0.05702161,0.25,0.4972319,8.72006,22.95467,2.378645,5.420691,169,18710450,37890000,67.45221,"Heilongjiang","China","2020-01-23","2020-06-17","Heilongjiang@China-0_25"
0.06282858,0.3333333,0.162404,2.584875,21.73271,10.1653,3.485533,286,7560702,37890000,99.89004,"Heilongjiang","China","2020-01-22","2020-10-12","Heilongjiang@China-0_333"
0.0575188,0.5,0.9967795,17.32963,22.52566,3.202123,5.632309,137,25182410,37890000,66.02387,"Heilongjiang","China","2020-01-23","2020-05-16","Heilongjiang@China-0_5"
0.05743377,1,0.4452866,7.753044,22.05816,1.941916,5.534996,152,21598870,37890000,61.71155,"Heilongjiang","China","2020-01-22","2020-05-31","Heilongjiang@China-1"
0.05124825,12,0.2451502,4.783582,21.11761,7.748478,4.203081,175,17515580,37890000,63.04961,"Heilongjiang","China","2020-01-21","2020-06-23","Heilongjiang@China-12"
0.05590442,2,0.2867214,5.128779,23.63879,2.369901,8.003548,169,17917770,37890000,58.86446,"Heilongjiang","China","2020-01-24","2020-06-17","Heilongjiang@China-2"
0.05726943,4,0.01759208,0.3071809,28.24686,4.05721,4.888857,108,359.5233,37890000,63.99737,"Heilongjiang","China","2020-01-28","2020-04-17","Heilongjiang@China-4"
0.0274453,0.05,0.04393327,1.600758,32.57814,4.647615,9.813211,397,1372702,60480000,892.3369,"","Italy","2020-02-02","2021-01-31","Italy-0_05"
0.02744084,0.07142857,0.02651244,0.966167,35.02889,8.515988,5.135692,131,111968.6,60480000,894.9559,"","Italy","2020-02-04","2020-05-10","Italy-0_071"
0.02732244,0.1,0.04642694,1.699224,31.20232,10.25608,14.58019,396,3045907,60480000,823.4706,"","Italy","2020-01-31","2021-01-30","Italy-0_1"
