"Date","days","infected.obs","removed.obs","susceptible.pred","exposed.pred","infected.pred","removed.pred"
"2020-01-22",22,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-01-23",23,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-01-24",24,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-01-25",25,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-01-26",26,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-01-27",27,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-01-28",28,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-01-29",29,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-01-30",30,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-01-31",31,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-02-01",32,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-02-02",33,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-02-03",34,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-02-04",35,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-02-05",36,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-02-06",37,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-02-07",38,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-02-08",39,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-02-09",40,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-02-10",41,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-02-11",42,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-02-12",43,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-02-13",44,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-02-14",45,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-02-15",46,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-02-16",47,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-02-17",48,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-02-18",49,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-02-19",50,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-02-20",51,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-02-21",52,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-02-22",53,0,0,8821999.99346117,0.00592821632112678,0,0
"2020-02-23",54,0,0,8821999.99346117,0.00592821632112678,0.00148615392710352,3.77595927383449e-05
"2020-02-24",55,0,0,8821999.97676507,0.0196890255909732,0.0043163396480188,0.000142874773828008
"2020-02-25",56,2,0,8821999.93171496,0.0559981425510193,0.01274493697746,0.000455266953942578
"2020-02-26",57,2,0,8821999.81567035,0.148223028535707,0.0356696126241679,0.00135030773471357
"2020-02-27",58,3,0,8821999.53731763,0.365992504642116,0.0938356952480624,0.00376747120694848
"2020-02-28",59,3,0,8821998.91896194,0.840769361714732,0.23128881958741,0.00989318280055131
"2020-02-29",60,9,0,8821997.65019312,1.79322583489119,0.533068771723296,0.0244255772406837
"2020-03-01",61,14,0,8821995.24799567,3.54848759655263,1.14777517571736,0.0566548560600302
"2020-03-02",62,18,0,8821991.04439311,6.52329656311691,2.30976154574974,0.123462083126962
"2020-03-03",63,21,0,8821984.2062216,11.1878710136985,4.35374610453192,0.25307459131131
"2020-03-04",64,29,0,8821973.73604771,18.0545791288191,7.72107043163625,0.489216034789187
"2020-03-05",65,41,0,8821958.35156388,27.7779615102329,12.9757794353136,0.895608487381641
"2020-03-06",66,55,0,8821936.27766618,41.3081334147366,20.8533809295843,1.56173278708635
"2020-03-07",67,79,0,8821904.93787215,60.1011910551744,32.3505358845258,2.6113142215191
"2020-03-08",68,104,0,8821860.51496592,86.3979105973866,48.872537083454,4.21549970769102
"2020-03-09",69,129,2,8821797.44323142,123.499940831931,72.4445247409768,6.61321631476759
"2020-03-10",70,178,4,8821707.95503747,175.933374281747,105.971453129574,10.1410484321465
"2020-03-11",71,242,4,8821581.9844602,249.252100633825,153.490693748298,15.2736587309381
"2020-03-12",72,297,5,8821407.68192493,349.349899962375,220.296908845709,22.6721795755627
"2020-03-13",73,497,7,8821171.49874212,482.322935605982,312.944606956396,33.2346286258664
"2020-03-14",74,648,7,8820858.52991049,654.103404775515,439.221543726037,48.1460543142079
"2020-03-15",75,853,7,8820453.64422798,869.485819189051,607.946277316409,68.9245888218146
"2020-03-16",76,1009,9,8819943.09450598,1130.94624131901,828.505820135036,97.4543458718981
"2020-03-17",77,1328,4,8819316.42869822,1437.46133891661,1110.11661099066,135.99426517734
"2020-03-18",78,1633,13,8818568.33416708,1783.65641109184,1460.85778445035,187.15255068183
"2020-03-19",79,1998,15,8817700.18729181,2159.39648952405,1886.5972314036,253.819900560474
"2020-03-20",80,2373,15,8816722.07616851,2549.04186490983,2389.82462664716,339.058253232532
"2020-03-21",81,2797,17,8815654.16447168,2931.48651351128,2968.40925065842,445.940677452816
"2020-03-22",82,3557,25,8814526.62343344,3281.45238026952,3614.58008099987,577.345018598025
"2020-03-23",83,4444,30,8813378.1220993,3571.77616113812,4314.38703142937,735.715621441546
"2020-03-24",84,5246,37,8812252.79027092,3776.54090456509,5047.85303037948,922.816707440964
"2020-03-25",85,5549,39,8811195.84502393,3874.69087509934,5789.95686727371,1139.50814700135
"2020-03-26",86,6748,161,8810248.63572302,3853.33603138277,6512.45157333957,1385.577585565
"2020-03-27",87,7374,283,8809444.64320585,3709.46464488191,7186.23528674034,1659.65777583332
"2020-03-28",88,7978,293,8808806.0368251,3450.79868970415,7783.92198830905,1959.24341019581
"2020-03-29",89,8223,565,8808341.13372255,3095.64124225967,8282.41431630778,2280.81163219762
"2020-03-30",90,8874,744,8808043.4629968,2671.332326112,8665.165263758,2620.04032663895
"2020-03-31",91,8957,1223,8807892.54116363,2211.53319922577,8923.82117997425,2972.10537047501
"2020-04-01",92,9129,1582,8807856.16416805,1752.77520754463,9059.03406638832,3332.02747132098
"2020-04-02",93,9222,1907,8807894.96982809,1329.7121780365,9080.28629301305,3695.03261416284
"2020-04-03",94,9334,2190,8807971.28986243,967.67422605561,9004.16011946204,4056.8767053539
"2020-04-04",95,9088,2693,8808054.55459133,680.05811698718,8851.31742845501,4414.07077653103
"2020-04-05",96,8849,3202,8808123.06074852,469.433775968967,8643.52313667955,4763.98325212988
"2020-04-06",97,8614,3683,8808164.39883732,329.581548874857,8401.1876378627,5104.83288925061
"2020-04-07",98,8350,4289,8808174.97371758,247.873358902139,8141.55762058762,5435.59621624484
"2020-04-08",99,8157,4785,8808159.03243583,207.556371278398,7877.55631752019,5755.85578868939
"2020-04-09",100,7709,5535,8808126.34780337,190.775945082591,7617.26277217927,6065.61439268432
