"Date","days","infected.obs","removed.obs","susceptible.pred","exposed.pred","infected.pred","removed.pred"
"2020-01-22",22,0,0,8821990.45082815,0.772285349513957,0,0
"2020-01-23",23,0,0,8821990.45082815,0.772285349513957,0,0
"2020-01-24",24,0,0,8821990.45082815,0.772285349513957,0,0
"2020-01-25",25,0,0,8821990.45082815,0.772285349513957,0,0
"2020-01-26",26,0,0,8821990.45082815,0.772285349513957,0,0
"2020-01-27",27,0,0,8821990.45082815,0.772285349513957,0,0
"2020-01-28",28,0,0,8821990.45082815,0.772285349513957,0,0
"2020-01-29",29,0,0,8821990.45082815,0.772285349513957,0,0
"2020-01-30",30,0,0,8821990.45082815,0.772285349513957,0,0
"2020-01-31",31,0,0,8821990.45082815,0.772285349513957,0,0
"2020-02-01",32,0,0,8821990.45082815,0.772285349513957,0,0
"2020-02-02",33,0,0,8821990.45082815,0.772285349513957,0,0
"2020-02-03",34,0,0,8821990.45082815,0.772285349513957,0,0
"2020-02-04",35,0,0,8821990.45082815,0.772285349513957,0,0
"2020-02-05",36,0,0,8821990.45082815,0.772285349513957,0,0
"2020-02-06",37,0,0,8821990.45082815,0.772285349513957,0,0
"2020-02-07",38,0,0,8821990.45082815,0.772285349513957,0,0
"2020-02-08",39,0,0,8821990.45082815,0.772285349513957,0,0
"2020-02-09",40,0,0,8821990.45082815,0.772285349513957,0,0
"2020-02-10",41,0,0,8821990.45082815,0.772285349513957,0,0
"2020-02-11",42,0,0,8821990.45082815,0.772285349513957,0,0
"2020-02-12",43,0,0,8821990.45082815,0.772285349513957,0,0
"2020-02-13",44,0,0,8821990.45082815,0.772285349513957,0,0
"2020-02-14",45,0,0,8821990.45082815,0.772285349513957,0,0
"2020-02-15",46,0,0,8821990.45082815,0.772285349513957,0,0
"2020-02-16",47,0,0,8821990.45082815,0.772285349513957,0,0
"2020-02-17",48,0,0,8821990.45082815,0.772285349513957,0,0
"2020-02-18",49,0,0,8821990.45082815,0.772285349513957,0,0
"2020-02-19",50,0,0,8821990.45082815,0.772285349513957,0,0
"2020-02-20",51,0,0,8821990.45082815,0.772285349513957,0,0
"2020-02-21",52,0,0,8821990.45082815,0.772285349513957,0,0
"2020-02-22",53,0,0,8821990.45082815,0.772285349513957,0,0
"2020-02-23",54,0,0,8821990.45082815,0.772285349513957,0,0
"2020-02-24",55,0,0,8821990.45082815,0.772285349513957,0,0
"2020-02-25",56,2,0,8821990.45082815,0.772285349513957,0,0
"2020-02-26",57,2,0,8821990.45082815,0.772285349513957,12.0239243770333,11.6983248382641
"2020-02-27",58,3,0,8821982.10768363,0.642636036299038,10.1367654313447,22.058277620652
"2020-02-28",59,3,0,8821975.20502726,0.529355325960538,8.46094887790216,30.7500312586487
"2020-02-29",60,9,0,8821969.55191417,0.431635233449286,6.99198140954077,37.9698319139258
"2020-03-01",61,14,0,8821964.96685233,0.348793475658062,5.72197047784177,43.9077464407287
"2020-03-02",62,18,0,8821961.27486719,0.28027644079635,4.64358204418068,48.7466370553246
"2020-03-03",63,21,0,8821958.31050541,0.225097867237957,3.74777366669177,52.661985783688
"2020-03-04",64,29,0,8821955.92306937,0.18187482446962,3.02144057831227,55.8189779463278
"2020-03-05",65,41,0,8821953.98014897,0.149013471659584,2.44758474813235,58.368615534247
"2020-03-06",66,55,0,8821952.36860942,0.124929772255634,2.00703039454731,60.4447931355719
"2020-03-07",67,79,0,8821950.99303787,0.108245504277978,1.68074817147027,62.1633311731317
"2020-03-08",68,104,0,8821949.7731951,0.097745236084259,1.45141676481643,63.6230056227107
"2020-03-09",69,129,2,8821948.64225854,0.0924380288515653,1.30352451371979,64.9071416370504
"2020-03-10",70,178,4,8821947.54178162,0.0918486448841509,1.22553124393144,66.0862012074799
"2020-03-11",71,242,4,8821946.41513327,0.0960633158164056,1.21170611408415,67.222460015216
"2020-03-12",72,297,5,8821945.20029018,0.105807784606865,1.26327167994991,68.3759930704517
"2020-03-13",73,497,7,8821943.82104992,0.122623444765929,1.38987282851258,69.6118165212954
"2020-03-14",74,648,7,8821942.17516433,0.149189581582103,1.6121448894565,71.0088639205781
"2020-03-15",75,853,7,8821940.116941,0.189912028872817,1.96629927837289,72.6722104205304
"2020-03-16",76,1009,9,8821937.43002482,0.251903780005425,2.51227950322926,74.7511546279828
"2020-03-17",77,1328,4,8821933.78548884,0.346415229775199,3.34647199626066,77.466986666222
"2020-03-18",78,1633,13,8821928.67816802,0.49093992969166,4.62078483280163,81.1554699403913
"2020-03-19",79,1998,15,8821921.33279064,0.712008665035766,6.56970319171631,86.3308602300116
"2020-03-20",80,2373,15,8821910.57374969,1.04828150652377,9.54448906026849,93.7788424738214
"2020-03-21",81,2797,17,8821894.66306114,1.55261162500581,14.0472808840784,104.682409074791
"2020-03-22",82,3557,25,8821871.12664811,2.29249124338257,20.7520805072634,120.774142867023
"2020-03-23",83,4444,30,8821836.58031742,3.34921073773125,30.5133445732954,144.50248999393
"2020-03-24",84,5246,37,8821786.60638324,4.81095119052241,44.3366156553308,179.191412637286
"2020-03-25",85,5549,39,8821715.75284329,6.7603300372798,63.2877752597417,229.144414128742
"2020-03-26",86,6748,161,8821617.71497902,9.25758183458926,88.3392257943123,299.633576068109
"2020-03-27",87,7374,283,8821485.7262456,12.3234780212898,120.173755879004,396.721883221269
"2020-03-28",88,7978,293,8821313.11726588,15.9284410755053,158.998314204269,526.901341559291
"2020-03-29",89,8223,565,8821093.96248552,19.9858858817702,204.413958183069,696.583033136563
"2020-03-30",90,8874,744,8820823.81732529,24.3467685120367,255.305651755499,911.475617160463
"2020-03-31",91,8957,1223,8820500.38502902,28.8136609653309,309.844392465954,1175.90228027125
"2020-04-01",92,9129,1582,8820123.92938145,33.1660611000504,365.652158390024,1492.19776177748
"2020-04-02",93,9222,1907,8819697.32855303,37.1928527151688,420.099237552249,1860.32471942124
"2020-04-03",94,9334,2190,8819225.72888984,40.7251971828604,470.680428005854,2277.81084769126
"2020-04-04",95,9088,2693,8818715.8456965,43.6622240410607,515.392087012121,2740.04535515997
"2020-04-05",96,8849,3202,8818175.13350733,45.9656135376399,552.9658292959,3240.88041255674
"2020-04-06",97,8614,3683,8817611.25411006,47.6318727209222,582.76760274627,3773.29177718931
"2020-04-07",98,8350,4289,8817031.68627623,48.6886577333004,604.66620608251,4329.9042226736
"2020-04-08",99,8157,4785,8816443.41545724,49.1852116312548,618.92929458744,4903.41539926476
"2020-04-09",100,7709,5535,8815852.74448388,49.1825760204451,626.104288066448,5486.91401475495
"2020-04-10",101,7172,6383,8815265.21126987,48.745392093409,626.902122356225,6074.0865784042
"2020-04-11",102,6865,6941,8814685.5904744,47.935915195332,622.09702850331,6659.32194462521
"2020-04-12",103,6608,7337,8814117.91772074,46.8167193547022,612.472320345301,7237.73860228649
"2020-04-13",104,6330,7711,8813565.43970841,45.4550398112572,598.847161663524,7805.203452836
"2020-04-14",105,6209,8017,8813030.60507547,43.9162435505453,582.060780480219,8358.36326321637
"2020-04-15",106,5845,8491,8812515.10860073,42.2610495031746,562.931798277452,8894.64391421193
"2020-04-16",107,5080,9396,8812019.95892074,40.5439351852589,542.226881509666,9412.21562528226
