"Date","days","infected.obs","removed.obs","susceptible.pred","exposed.pred","infected.pred","removed.pred"
"2020-01-22",22,14,0,21709983.5622692,8.35275367592668,4.59196624245113,0.0458953357029258
"2020-01-23",23,22,0,21709972.6210879,17.1830325025759,6.48320423091513,0.265559866410938
"2020-01-24",24,35,1,21709958.0511508,28.0233318812908,9.88684594448971,0.591555872882743
"2020-01-25",25,39,2,21709938.2249797,42.0595006459032,15.176295506191,1.09210859882718
"2020-01-26",26,66,2,21709911.9262264,59.9149609046462,22.8580960506869,1.85360115418646
"2020-01-27",27,77,3,21709878.5762369,81.5263203595203,33.4664375948239,2.98388965108968
"2020-01-28",28,86,5,21709838.5370626,105.96952505026,47.4353808069666,4.6109159931839
"2020-01-29",29,106,5,21709793.3635869,131.361470472578,64.9521118005167,6.87571527454364
"2020-01-30",30,109,5,21709745.8250721,154.991487119861,85.816842066802,9.91948316449777
"2020-01-31",31,133,6,21709699.5441578,173.786422643484,109.356430120526,13.8658739007331
"2020-02-01",32,158,10,21709658.2076029,185.098431015769,134.445051770128,18.8017988235361
"2020-02-02",33,181,10,21709624.4819037,187.640102122924,159.668964723136,24.7619139577142
"2020-02-03",34,199,13,21709599.3554413,181.867886969495,183.607102228845,31.7224539721472
"2020-02-04",35,204,24,21709582.426155,169.444060706921,205.076411335445,39.6062574106289
"2020-02-05",36,228,25,21709572.2547171,152.726077105448,223.276448536409,48.2956418123898
"2020-02-06",37,242,32,21709566.8407608,134.219401088951,237.843406006586,57.6493165694189
"2020-02-07",38,263,34,21709564.1633744,116.057044323848,248.812858215191,67.5196075790291
"2020-02-08",39,279,36,21709562.6581942,99.6186993280724,256.509388903557,77.7666020365398
"2020-02-09",40,287,39,21709561.5462671,85.3461672888071,261.3936063044,88.2668438591987
"2020-02-10",41,291,46,21709560.6782209,73.0407514427591,263.918170397944,98.9157417456487
"2020-02-11",42,291,51,21709559.9999805,62.4503310423059,264.476710106376,109.625862877415
"2020-02-12",43,293,59,21709559.4542585,53.364408415652,263.40960460041,120.324613035576
"2020-02-13",44,294,72,21709558.9839546,45.6045904223611,261.012089628448,130.952249910597
"2020-02-14",45,289,83,21709558.5346775,39.0173489161387,257.540669221936,141.460188926329
"2020-02-15",46,273,102,21709558.0564243,33.4686659984572,253.218252432064,151.809541775147
"2020-02-16",47,268,112,21709557.504789,28.8399234251417,248.238329389262,161.969842747862
"2020-02-17",48,263,118,21709556.8457212,25.0210651051962,242.768172300213,171.917925933577
"2020-02-18",49,261,126,21709556.062379,21.9030430184981,236.950559925654,181.63690254011
"2020-02-19",50,244,149,21709555.1550987,19.3777468387729,230.904848621426,191.115190310402
"2020-02-20",51,238,157,21709554.139741,17.3393855687058,224.728169782508,200.345588193795
"2020-02-21",52,223,173,21709553.0459391,15.6857453702676,218.496796990226,209.324403064772
"2020-02-22",53,217,182,21709551.9153641,14.3192379175092,212.267647819637,218.050634697054
"2020-02-23",54,206,193,21709550.7994059,13.1483604872573,206.07989441943,226.525223684393
"2020-02-24",55,197,202,21709549.7423178,12.1026282550626,199.957561367804,234.750377069523
"2020-02-25",56,181,219,21709548.7560598,11.152262908654,193.91549700025,242.729064857441
"2020-02-26",57,161,239,21709547.8193832,10.302594739225,187.966117241235,250.464789294415
"2020-02-27",58,157,253,21709546.8818111,9.5850087975578,182.124469910614,257.961594697057
"2020-02-28",59,146,264,21709545.8674219,9.04946203014397,176.411750554034,265.224249996944
"2020-02-29",60,132,279,21709544.6783623,8.75840114903383,170.857573556824,272.258547557982
"2020-03-01",61,129,284,21709543.1990449,8.78092613124354,165.501240275474,279.071673232899
"2020-03-02",62,124,290,21709541.3234722,9.16605683234202,160.390761543261,285.672593922121
"2020-03-03",63,118,296,21709538.9953621,9.90927820692076,155.575954981335,292.072289258527
"2020-03-04",64,113,305,21709536.2088961,10.9603756206112,151.099965967323,298.283646866816
"2020-03-05",65,113,305,21709533.002147,12.2364914445659,146.993185389415,304.321060639783
"2020-03-06",66,115,307,21709529.4517608,13.6320170830784,143.269279159132,310.199827445491
"2020-03-07",67,115,311,21709525.6691058,15.0256130918354,139.922749801793,315.935415831537
"2020-03-08",68,112,316,21709521.7968577,16.2858072583275,136.927561004462,321.54265858957
"2020-03-09",69,105,323,21709517.9841031,17.2960030562851,134.237857090592,327.034921259089
"2020-03-10",70,101,328,21709514.3476536,17.9874630627899,131.794357626035,332.423410261454
"2020-03-11",71,101,334,21709510.9686396,18.3348234320524,129.532620900436,337.716800601675
"2020-03-12",72,93,342,21709507.8954976,18.3466974986243,127.389525160467,342.921164222983
"2020-03-13",73,86,350,21709505.1460391,18.0585632598256,125.30815499811,348.040127135823
"2020-03-14",74,80,357,21709502.7089802,17.5272344242296,123.241471021887,353.075198817492
"2020-03-15",75,81,361,21709500.5453768,16.8262589486822,121.155018555319,358.026230156387
"2020-03-16",76,84,368,21709498.5921311,16.0400708072588,119.028719429605,362.891963155779
"2020-03-17",77,79,377,21709496.7670011,15.2577331123314,116.857520084615,367.670630208266
"2020-03-18",78,83,386,21709494.9707019,14.5703150520156,114.651305032175,372.360562488169
"2020-03-19",79,92,388,21709493.0884483,14.0691629838448,112.434485435419,376.960787757917
"2020-03-20",80,93,398,21709490.9913875,13.8445411407152,110.245349424832,381.471606439181
"2020-03-21",81,100,404,21709488.5376256,13.9848597296575,108.135261240647,385.895137948303
"2020-03-22",82,114,408,21709485.5737199,14.5755307597351,106.167800517533,390.235833361816
"2020-03-23",83,129,408,21709481.9626664,15.6730144049366,104.41626967429,394.500934049408
"2020-03-24",84,149,409,21709477.6286069,17.2685325723705,102.955034667179,398.700710306305
"2020-03-25",85,150,411,21709472.5584317,19.2969429597148,101.849221245265,402.848288621739
"2020-03-26",86,152,414,21709466.796282,21.6504205614255,101.147068289538,406.959113651397
"2020-03-27",87,153,416,21709460.4413083,24.1870286123489,100.87440104149,411.050146502795
"2020-03-28",88,155,418,21709453.6493332,26.7343716963686,101.03031301919,415.138866523481
"2020-03-29",89,157,420,21709446.6364613,29.0910060753527,101.583307960756,419.242109129034
"2020-03-30",90,154,423,21709439.640413,31.0675710015596,102.470121104334,423.374779431413
"2020-03-31",91,154,426,21709432.8469608,32.5521228008083,103.605083041988,427.548717877451
"2020-04-01",92,154,426,21709426.3770069,33.5096700481381,104.894128105739,431.772079489974
"2020-04-02",93,150,432,21709420.2837746,33.9729889220687,106.246875695761,436.049245235501
"2020-04-03",94,142,442,21709414.5474308,34.0371955673204,107.587070846226,440.381187290037
"2020-04-04",95,139,446,21709409.0687805,33.855985320433,108.861885583042,444.766233145121
"2020-04-05",96,137,449,21709403.6652223,33.6362527899721,110.050222561999,449.201186808906
"2020-04-06",97,136,451,21709398.1112599,33.5915527847306,111.167337132317,453.68273469725
"2020-04-07",98,131,456,21709392.2142914,33.8718196035478,112.257954383692,458.208819096808
"2020-04-08",99,125,463,21709385.8294644,34.5599729057692,113.383867044915,462.779580143717
"2020-04-09",100,116,472,21709378.8605428,35.6814122793469,114.613108236852,467.397821156222
"2020-04-10",101,111,477,21709371.2607498,37.2120670867189,116.010993354161,472.069074236986
"2020-04-11",102,107,482,21709363.0343389,39.0845294675072,117.632681179555,476.801334996347
"2020-04-12",103,102,487,21709354.2385412,41.1929499025263,119.516873378194,481.604519990456
"2020-04-13",104,97,492,21709344.9620065,43.4193842044567,121.681790666531,486.489703166598
"2020-04-14",105,90,499,21709335.2836578,45.6732327546178,124.12767981591,491.468314184427
"2020-04-15",106,87,503,21709325.2660227,47.8928976701373,126.842439599867,496.551524563555
"2020-04-16",107,82,511,21709314.9555859,50.0410156532528,129.806434755458,501.749848262354
