"Date","days","infected.obs","removed.obs","susceptible.pred","exposed.pred","infected.pred","removed.pred"
"2020-01-22",22,14,0,21709982.8900994,4.11830509713983,0,0
"2020-01-23",23,22,0,21709982.8900994,4.11830509713983,0,0
"2020-01-24",24,35,1,21709982.8900994,4.11830509713983,0,0
"2020-01-25",25,39,2,21709982.8900994,4.11830509713983,9.77461833688165,0.156382379425543
"2020-01-26",26,66,2,21709972.745666,5.28508457420536,18.1984355336074,0.710219048093862
"2020-01-27",27,77,3,21709957.1393424,7.8699756838045,30.2636131201215,1.66647399257117
"2020-01-28",28,86,5,21709935.0582043,11.0779974217002,47.5943522021417,3.20885120908986
"2020-01-29",29,106,5,21709906.054423,14.497009807393,70.8238967870394,5.56407557666704
"2020-01-30",30,109,5,21709870.8880811,17.5209885414496,99.565318636441,8.96501686773389
"2020-01-31",31,133,6,21709831.7524501,19.4488201981769,132.13464770072,13.603487123434
"2020-02-01",32,158,10,21709792.0109711,19.7177516237485,165.632400235367,19.5782821744992
"2020-02-02",33,181,10,21709755.4089453,18.1547591937945,196.51934541239,26.8563551993492
"2020-02-03",34,199,13,21709725.0030228,15.1069014412387,221.564077147025,35.2654037690591
"2020-02-04",35,204,24,21709702.2396309,11.3640912555916,238.809427999281,44.5262550270084
"2020-02-05",36,228,25,21709686.5974431,7.87623986704493,248.148250787702,54.3174713620735
"2020-02-06",37,242,32,21709676.2661196,5.24881455843505,251.076417446081,64.348053512437
"2020-02-07",38,263,34,21709669.1711952,3.62950011433881,249.735578448021,74.4031313285431
"2020-02-08",39,279,36,21709663.4937584,2.90442998767425,246.187350701495,84.3538660099227
"2020-02-09",40,287,39,21709657.9061849,2.83745060206347,242.049797048284,94.145972554753
"2020-02-10",41,291,46,21709651.6319635,3.15818960483528,238.370479086573,103.778772902149
"2020-02-11",42,291,51,21709644.4277641,3.60162841597804,235.627931426741,113.282081139382
"2020-02-12",43,293,59,21709636.5312384,3.93217130182976,233.781742784478,122.694252647003
"2020-02-13",44,294,72,21709628.3737053,4.06251271246673,232.458902403574,132.044284749362
"2020-02-14",45,289,83,21709620.314169,4.0168056263061,231.263427111068,141.345003350392
"2020-02-15",46,273,102,21709612.6196207,3.83809905755476,229.886687297402,150.594998061715
"2020-02-16",47,268,112,21709605.4631308,3.57304944728869,228.120737801059,159.782487069081
"2020-02-17",48,263,118,21709598.9205201,3.27021102087172,225.859286623476,168.88938733339
"2020-02-18",49,261,126,21709592.9686161,2.97896869061492,223.096446496725,177.895373851622
"2020-02-19",50,244,149,21709587.4925211,2.74386840423114,219.921187349265,186.781828240745
"2020-02-20",51,238,157,21709582.3519403,2.5753152035938,216.477110067275,195.53503953645
"2020-02-21",52,223,173,21709577.4439196,2.45739625891705,212.891192064614,204.146897230772
"2020-02-22",53,217,182,21709572.707662,2.36980149189307,209.248378813055,212.613562794213
"2020-02-23",54,206,193,21709568.1232242,2.2922267390156,205.59022536892,220.933728823929
"2020-02-24",55,197,202,21709563.709807,2.205125129575,201.917545896752,229.106927117293
"2020-02-25",56,181,219,21709559.523826,2.08990038616268,198.193718773281,237.131959929152
"2020-02-26",57,161,239,21709555.6536615,1.93119176394767,194.349077703164,245.005474131545
