"Date","days","infected.obs","removed.obs","susceptible.pred","exposed.pred","infected.pred","removed.pred"
"2020-01-22",22,0,0,37889996.8616028,6.18746749947892,10.4290994130412,0.172659721832603
"2020-01-23",23,2,0,37889984.4762138,15.0058084001955,13.266153796342,0.902653475423761
"2020-01-24",24,3,1,37889969.5284431,23.5418048062206,18.6872219457254,1.89335962415137
"2020-01-25",25,8,1,37889950.8761897,32.8247943526703,26.6459599314869,3.30388550203359
"2020-01-26",26,14,1,37889928.2223208,42.8766894559265,37.2546162918713,5.29720294581679
"2020-01-27",27,20,1,37889902.086989,53.0178162459397,50.5052793495494,8.04074485989017
"2020-01-28",28,32,1,37889873.7871684,62.0850970111964,66.0859260396432,11.6926380506288
"2020-01-29",29,37,1,37889845.2870628,68.7006685845878,83.2840281355857,16.3790699548247
"2020-01-30",30,42,2,37889818.8317215,71.6497313495619,101.000470785224,22.1689058500689
"2020-01-31",31,57,2,37889796.3885596,70.3125466197387,117.896419111222,29.0533041529202
"2020-02-01",32,76,4,37889779.035319,65.0152293583522,132.661722347443,36.9385588092856
"2020-02-02",33,91,4,37889766.504973,57.1415596625401,144.346086945865,45.6582099031068
"2020-02-03",34,117,4,37889757.3616569,48.6606663213989,152.623630842221,55.004875389038
"2020-02-04",35,149,6,37889749.7974181,41.2837011378531,157.798537981415,64.7711722868159
"2020-02-05",36,181,9,37889742.1296189,36.1215974536641,160.61573962309,74.7838735189381
"2020-02-06",37,216,11,37889733.0861581,33.6164762928564,162.023998243006,84.9241968777609
"2020-02-07",38,262,15,37889721.9363768,33.6231394524615,162.957771289701,95.1335419528758
"2020-02-08",39,277,18,37889708.5195492,35.552837368243,164.171369375518,105.407073595436
"2020-02-09",40,287,20,37889693.2358884,38.5075447915947,166.128721849986,115.778674446886
"2020-02-10",41,294,37,37889676.8214588,41.5687573058301,168.959799336413,126.300814015628
"2020-02-11",42,324,36,37889659.9727326,44.116161876544,172.536534809272,137.025400157293
"2020-02-12",43,339,39,37889643.3070373,45.7720546433284,176.580633447752,147.991104085901
"2020-02-13",44,353,42,37889627.3744781,46.3229495079037,180.737012510048,159.216389335087
"2020-02-14",45,361,58,37889612.6489061,45.6811513156793,184.624411769376,170.696360340305
"2020-02-15",46,346,79,37889599.5035837,43.8700621892282,187.874790084716,182.402393534652
"2020-02-16",47,355,90,37889588.1810301,41.01825726769,190.1674806958,194.284061400817
"2020-02-17",48,361,96,37889578.7956673,37.3259237823733,191.256213238508,206.27302513307
"2020-02-18",49,342,122,37889571.3675329,33.0164472950059,190.978747346124,218.288101943782
"2020-02-19",50,338,132,37889565.8219285,28.3305718591355,189.257748746841,230.240580381145
"2020-02-20",51,328,148,37889561.9888218,23.5217791332764,186.100669324515,242.039559194763
