"Date","days","infected.obs","removed.obs","susceptible.pred","exposed.pred","infected.pred","removed.pred"
"2020-01-22",22,0,0,60479998.9272119,6.24717579222914,0,0
"2020-01-23",23,0,0,60479998.9272119,6.24717579222914,0,0
"2020-01-24",24,0,0,60479998.9272119,6.24717579222914,0,0
"2020-01-25",25,0,0,60479998.9272119,6.24717579222914,0,0
"2020-01-26",26,0,0,60479998.9272119,6.24717579222914,0,0
"2020-01-27",27,0,0,60479998.9272119,6.24717579222914,0,0
"2020-01-28",28,0,0,60479998.9272119,6.24717579222914,0,0
"2020-01-29",29,0,0,60479998.9272119,6.24717579222914,0,0
"2020-01-30",30,0,0,60479998.9272119,6.24717579222914,0,0
"2020-01-31",31,2,0,60479998.9272119,6.24717579222914,0,0
"2020-02-01",32,2,0,60479998.9272119,6.24717579222914,0,0
"2020-02-02",33,2,0,60479998.9272119,6.24717579222914,0,0
"2020-02-03",34,2,0,60479998.9272119,6.24717579222914,10.7229335104007,0.148779581351853
"2020-02-04",35,2,0,60479996.2272265,4.05862505063297,15.2514340951479,0.508815073945736
"2020-02-05",36,2,0,60479992.5868342,3.8402491944194,18.646365782094,0.972651561359446
"2020-02-06",37,2,0,60479988.0236235,4.34810847324343,22.1453022915156,1.52906651049584
"2020-02-07",38,3,0,60479982.3821551,5.22758055764882,26.2478185426248,2.1885464960117
"2020-02-08",39,3,0,60479975.4047992,6.41133237019566,31.2580615861399,2.97190759265819
"2020-02-09",40,3,0,60479966.7409444,7.93373275733437,37.463600835919,3.90782274086128
"2020-02-10",41,3,0,60479955.9313481,9.87731792015994,45.2040058733096,5.03342889491676
"2020-02-11",42,3,0,60479942.3785707,12.3616624158003,54.9095637230519,6.39630390234861
"2020-02-12",43,3,0,60479925.3050797,15.5471213236422,67.1364797729953,8.05741997371978
"2020-02-13",44,3,0,60479903.6969822,19.6454553251025,82.6085310906082,10.0951321617821
"2020-02-14",45,3,0,60479876.2347967,24.9312020153275,102.269649979161,12.6104520597914
"2020-02-15",46,3,0,60479841.2486782,31.7280246431541,127.335592062866,15.7338058106576
"2020-02-16",47,3,0,60479796.6986915,40.3897140263534,159.324766999383,19.6329282505967
"2020-02-17",48,3,0,60479740.1836635,51.2725861953465,200.068514529773,24.5213365354342
"2020-02-18",49,3,0,60479669.0334233,64.6697678445669,251.676355642845,30.6665538935019
