"Date","days","infected.obs","removed.obs","susceptible.pred","exposed.pred","infected.pred","removed.pred"
"2020-01-22",22,1,0,51469998.0241207,1.22430767413192,19.7693541427873,1.35208371748797
"2020-01-23",23,1,0,51469997.2277365,0.965808760097406,20.2380787425891,1.93824221935226
"2020-01-24",24,2,0,51469996.1984249,1.01814605937911,20.6172374254477,2.5360578905077
"2020-01-25",25,2,0,51469994.9294604,1.18938356483108,21.1047425225709,3.14627969042441
"2020-01-26",26,3,0,51469993.4093502,1.41182398113013,21.7753515664185,3.7733405052646
"2020-01-27",27,4,0,51469991.6236402,1.6623448548702,22.6607599331428,4.4231212700953
"2020-01-28",28,4,0,51469989.5566565,1.93311827467668,23.7779142814511,5.10217713435554
"2020-01-29",29,4,0,51469987.1934547,2.22069162828885,25.1382520616046,5.81746784215138
"2020-01-30",30,4,0,51469984.5222754,2.52163609150194,26.7497181908008,6.57623655902114
"2020-01-31",31,11,0,51469981.5362035,2.83169504079767,28.6160678666468,7.38589978791699
"2020-02-01",32,12,0,51469978.2274117,3.15030317634685,30.7382184304962,8.25393286307158
"2020-02-02",33,15,0,51469974.5822135,3.48105898084793,33.1187415896342,9.18785213944918
"2020-02-03",34,15,0,51469970.5790353,3.83039966459218,35.7651167266296,10.1953145585381
"2020-02-04",35,16,0,51469966.1853612,4.20780141398887,38.6924035142087,11.2843000808687
"2020-02-05",36,19,0,51469961.3534002,4.62666769330636,41.9264201722469,12.4633781213989
"2020-02-06",37,23,0,51469956.0142702,5.10560796062393,45.5079074526769,13.7420805749776
"2020-02-07",38,23,1,51469950.0706566,5.66984204330753,49.4979527397188,15.1314148844832
"2020-02-08",39,23,1,51469943.3888413,6.35211777520609,53.9843560488716,16.6445511269376
"2020-02-09",40,22,3,51469935.7873739,7.19538554713795,59.0893952136455,18.2977115270232
"2020-02-10",41,24,3,51469927.0203167,8.2572371146361,64.9809795123569,20.1113328498779
"2020-02-11",42,25,3,51469916.7535628,9.61605880949893,71.8886226521573,22.1116219896322
"2020-02-12",43,21,7,51469904.530646,11.3801712618144,80.1263747770491,24.3326741749663
"2020-02-13",44,21,7,51469889.7223608,13.7017917599241,90.1263077684524,26.8194058567622
"2020-02-14",45,21,7,51469871.459993,16.791647654224,102.486547428275,29.6316781888637
"2020-02-15",46,19,9,51469848.5825703,20.9147354264975,118.02263392967,32.8499266077333
"2020-02-16",47,20,9,51469819.5515481,26.4134247098398,137.822616402345,36.582277040652
"2020-02-17",48,20,10,51469782.3084588,33.7509201471351,163.336752232177,40.9737351235124
"2020-02-18",49,19,12,51469734.0833087,43.5588376598124,196.509112131579,46.218607802908
"2020-02-19",50,19,12,51469671.1417428,56.6940938341706,239.956578499874,52.5774511389077
"2020-02-20",51,87,17,51469588.4586951,74.3068597489959,297.204251636837,60.4000597666008
"2020-02-21",52,186,18,51469479.3250406,97.9056939572318,372.982869529091,70.156262171114
"2020-02-22",53,415,18,51469334.9791884,129.360090427581,473.554590190777,82.4759972433697
"2020-02-23",54,578,24,51469144.318539,170.848950208486,607.003838782949,98.1985382703357
"2020-02-24",55,807,26,51468893.84739,224.677618093671,783.415958713578,118.428899453403
"2020-02-25",56,945,32,51468568.206179,292.821599614434,1014.74649936653,144.59558831535
"2020-02-26",57,1227,34,51468151.7868304,376.040864107735,1314.04607079846,178.496100985696
"2020-02-27",58,1731,35,51467632.1139393,472.399420634702,1693.55198744427,222.304518924606
"2020-02-28",59,2302,35,51467005.0839055,575.619757160204,2161.16612373203,278.500079861638
"2020-02-29",60,3107,43,51466278.5942975,675.696718533881,2716.3998580547,349.678992170569
"2020-03-01",61,3689,47,51465474.4714659,760.064284025122,3347.56931435311,438.264802031382
"2020-03-02",62,4277,58,51464628.5182253,815.360817003765,4030.33586379535,546.154960204894
"2020-03-03",63,5128,58,51463786.5491547,830.665965768527,4728.79623794155,674.358507819321
"2020-03-04",64,5545,76,51462996.2193031,801.318372023213,5400.11584151193,822.716349647121
"2020-03-05",65,6012,76,51462296.0695382,731.962119836704,6002.52966171133,989.808546495629
"2020-03-06",66,6416,177,51461706.2471772,636.168068218735,6504.82893652331,1173.12568429919
"2020-03-07",67,6862,179,51461231.0624618,528.544700487764,6891.29226135784,1369.47044265173
"2020-03-08",68,7146,168,51460864.4602004,420.854226744831,7159.66502135748,1575.39041773283
"2020-03-09",69,7307,171,51460593.1623301,321.815612619924,7317.86764973216,1787.52427378741
"2020-03-10",70,7212,301,51460400.055936,236.888519699232,7380.57559295671,2002.84981756289
"2020-03-11",71,7407,348,51460267.2443776,168.436222129519,7365.8573871819,2218.83187933279
"2020-03-12",72,7470,399,51460178.3678093,116.258811075494,7292.26570603463,2433.47753986666
"2020-03-13",73,7403,576,51460119.9061085,78.4626248195476,7176.68458240502,2645.31655051228
"2020-03-14",74,7504,582,51460080.8858609,52.7779341720198,7033.37099206779,2853.33507915086
"2020-03-15",75,7577,585,51460052.6117044,36.9236511216549,6873.9367893683,3056.89772132574
"2020-03-16",76,7024,1212,51460028.7486463,28.5684822911928,6707.38206514239,3255.67067258232
"2020-03-17",77,6832,1488,51460005.2568926,25.4104222266533,6540.1565664991,3449.545984999
"2020-03-18",78,6789,1624,51459980.2367099,25.2591296294246,6376.30517148889,3638.5688552894
"2020-03-19",79,6934,1631,51459953.742236,26.0836158317858,6217.67386711247,3822.87014737378
"2020-03-20",80,7018,1634,51459927.3745432,26.2042157778452,6064.18544675807,4002.60566058953
"2020-03-21",81,7157,1642,51459902.8977913,24.9768793127698,5914.58615923409,4177.90903646408
"2020-03-22",82,5941,3020,51459881.503489,22.5304461865024,5767.46293614768,4348.87299500447
"2020-03-23",83,5941,3020,51459863.8284883,19.2604378691633,5621.72789980503,4515.55304031544
"2020-03-24",84,5410,3627,51459850.0014954,15.6312144556788,5476.75765469059,4677.97950175721
"2020-03-25",85,5281,3856,51459839.6883961,12.1038075678599,5332.40617072221,4836.1714918863
"2020-03-26",86,4966,4275,51459832.1382089,9.1088991987226,5188.97229226557,4990.15046596066
"2020-03-27",87,4665,4667,51459826.2908811,6.98797910954435,5047.13853131716,5139.95247473888
"2020-03-28",88,4523,4955,51459821.1539936,5.80305162321328,4907.7758031533,5285.63701792472
"2020-03-29",89,4398,5185,51459815.9975389,5.41049232930779,4771.67344726063,5427.28838783738
"2020-03-30",90,4275,5386,51459810.3386433,5.60250576149449,4639.41757211302,5565.01114505231
"2020-03-31",91,4216,5570,51459803.9176601,6.16275359033639,4511.36578781012,5698.92366476248
"2020-04-01",92,4155,5732,51459796.675503,6.88600253537,4387.65681792988,5829.15154286184
"2020-04-02",93,3979,5997,51459788.7326474,7.58429584879086,4268.23144063792,5955.82148237359
"2020-04-03",94,3867,6195,51459780.3479067,8.10555717600672,4152.86053145815,6079.05587094436
"2020-04-04",95,3654,6502,51459771.7816354,8.40043084396684,4041.21907798658,6198.96872210275
"2020-04-05",96,3591,6646,51459763.2244087,8.49514894886444,3932.98590003926,6315.66440862039
"2020-04-06",97,3500,6784,51459754.800657,8.44083164786474,3827.88979995212,6429.23857774584
"2020-04-07",98,3445,6886,51459746.5749713,8.29380055903153,3725.72126043335,6539.77983399206
"2020-04-08",99,3408,6976,51459738.5579022,8.10864563895886,3626.33176799916,6647.37155055985
